,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
131,2021 Maruti New Wagon-R,LXI 1.0,Manual,"35,887 km",1st Owner,Petrol,HR-98,"9,599/month","4,91,000","M3M Urbana, Golf Course Extension, Gurugram"
132,2013 Honda Amaze,1.2L I-VTEC EX,Manual,"48,077 km",2nd Owner,Petrol,UP-85,"6,373/month","3,26,000","Sewa Nagar
"
133,2017 Tata Tiago,XZA PETROL,Automatic,"31,975 km",1st Owner,Petrol,DL-11,"9,931/month","5,08,000","Vasant Kunj, New Delhi"
134,2022 Tata Tiago,XZ PLUS CNG,Manual,"5,237 km",1st Owner,CNG,DL-5C,"14,760/month","7,55,000","Metro Walk, Rohini, New Delhi"
135,2021 Jeep Compass,SPORT 1.4 PETROL DCT,Automatic,"37,129 km",2nd Owner,Petrol,DL-1C,"35,708/month","18,76,000","M3M Urbana, Golf Course Extension, Gurugram"
136,2019 Renault TRIBER,RXZ,Manual,"30,714 km",1st Owner,Petrol,UP-81,"11,906/month","6,09,000","GIP Mall, Noida"
137,2019 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"1,06,244 km",1st Owner,Petrol,DL-2C,"13,060/month","6,68,000","GIP Mall, Noida"
138,2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"42,733 km",1st Owner,Petrol,DL-2C,"9,971/month","5,10,000","GIP Mall, Noida"
139,2017 Tata Tiago,XE PETROL,Manual,"1,19,094 km",1st Owner,Petrol,HR-51,"6,745/month","3,45,000","Parsvnath City Mall, Faridabad"
140,2018 Renault Kwid,RXL,Manual,"21,107 km",2nd Owner,Petrol,DL-8C,"6,061/month","3,10,000","GIP Mall, Noida"
141,2016 Hyundai Elite i20,ASTA 1.2 (O),Manual,"36,037 km",1st Owner,Petrol,DL-4C,"10,616/month","5,43,000","GIP Mall, Noida"
142,2017 Tata Tiago,XZA PETROL,Automatic,"91,918 km",1st Owner,CNG,DL-3C,"8,602/month","4,40,000","Sewa Nagar
"
143,2022 Honda WR-V,1.2L I-VTEC SV MT,Manual,"5,276 km",1st Owner,Petrol,UP-14,"16,331/month","8,58,000","Sector-18, Noida"
144,2020 Maruti New Wagon-R,LXI CNG 1.0,Manual,"86,636 km",1st Owner,CNG,HR-51,"10,655/month","5,45,000","Metro Walk, Rohini, New Delhi"
145,2011 Hyundai Verna,FLUIDIC 1.6 VTVT EX,Manual,"55,695 km",1st Owner,Petrol,DL-8C,"6,315/month","3,23,000","Sector-18, Noida"
146,2020 Hyundai NEW I20,ASTA (O) 1.2 MT,Manual,"36,716 km",2nd Owner,Petrol,UP-14,"15,760/month","8,28,000","GIP Mall, Noida"
147,2018 Maruti Baleno,ALPHA PETROL 1.2,Manual,"17,328 km",2nd Owner,Petrol,DL-9C,"11,711/month","5,99,000","Vasant Kunj, New Delhi"
148,2021 Datsun Redi Go,A,Manual,"7,685 km",1st Owner,Petrol,HR-26,"6,471/month","3,31,000","M3M Urbana, Golf Course Extension, Gurugram"
149,2021 Hyundai Verna,SX (O) 1.5 CRDI AT,Automatic,"62,579 km",1st Owner,Diesel,UP-14,"24,592/month","12,92,000","Sector-18, Noida"
150,2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"27,927 km",3rd Owner,Petrol,DL-1C,"8,504/month","4,35,000","Sector-18, Noida"
151,2015 Maruti Swift Dzire,VXI,Manual,"89,352 km",1st Owner,Petrol,HR-26,"7,585/month","3,88,000","Parsvnath City Mall, Faridabad"
152,2010 Volkswagen Polo,TRENDLINE 1.2L PETROL,Manual,"1,02,254 km",2nd Owner,Petrol,DL-8C,"3,793/month","1,94,000","Sector-18, Noida"
153,2022 Hyundai VENUE,SX 1.5 CRDI,Manual,"21,649 km",2nd Owner,Diesel,UP-13,"21,547/month","11,32,000","Sewa Nagar
"
154,2011 Honda Jazz,1.2L I-VTEC X,Manual,"64,189 km",3rd Owner,Petrol,DL-4C,"4,927/month","2,52,000","Sewa Nagar
"
155,2013 Maruti Swift Dzire,VXI,Manual,"80,318 km",2nd Owner,Petrol,DL-3C,"5,521/month","2,82,400","Vasant Kunj, New Delhi"
156,2014 Maruti Alto 800,LXI,Manual,"62,251 km",1st Owner,Petrol,DL-2C,"3,812/month","1,95,000","Sewa Nagar
"
157,2017 Maruti Dzire,VXI AMT,Automatic,"65,079 km",1st Owner,Petrol,UP-14,"10,850/month","5,55,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
