,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
99,2017 Volkswagen Ameo,HIGHLINE DSG 1.5 DIESEL ,Automatic,"78,752 km",2nd Owner,Diesel,KA-41,"11,026/month","5,64,000","Bellahalli, Bengaluru"
100,2021 Toyota Glanza,G,Manual,"13,877 km",1st Owner,Petrol,KA-03,"15,386/month","7,87,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
101,2010 Maruti Ritz,LXI,Manual,"81,225 km",2nd Owner,Petrol,KA-04,"5,435/month","2,78,000","Bellahalli, Bengaluru"
102,2023 Hyundai VENUE,SX 1.2 PETROL,Manual,"7,839 km",1st Owner,Petrol,KA-01,"21,280/month","11,18,000","Sonnappanahalli
"
103,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"20,134 km",1st Owner,Petrol,KA-04,"18,159/month","9,54,000","Garuda Mall, Magrath Road, Bengaluru"
104,2016 Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,Automatic,"54,659 km",2nd Owner,Petrol,KA-03,"9,365/month","4,79,000","GT World Mall, Bengaluru"
105,2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT SX,Manual,"93,059 km",2nd Owner,Petrol,KA-03,"12,825/month","6,56,000","Sonnappanahalli
"
106,2020 Skoda Rapid,ACTIVE 1.0 TSI,Manual,"29,184 km",1st Owner,Petrol,KA-04,"15,621/month","7,99,000","Sonnappanahalli
"
107,2016 Hyundai i20 Active,1.2 S,Manual,"68,672 km",2nd Owner,Petrol,KA-53,"11,280/month","5,77,000","Bellahalli, Bengaluru"
108,2017 Hyundai Verna,1.6 CRDI SX,Manual,"1,14,521 km",1st Owner,Diesel,KA-13,"14,917/month","7,63,000","Bellahalli, Bengaluru"
109,2018 Hyundai Verna,1.6 EX CRDI,Manual,"76,073 km",1st Owner,Diesel,KA-53,"15,513/month","8,15,000","Bellahalli, Bengaluru"
110,2013 Maruti Ertiga,ZDI,Manual,"80,267 km",1st Owner,Diesel,KA-04,"14,663/month","7,50,000","Bellahalli, Bengaluru"
111,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"1,10,630 km",1st Owner,Petrol,KA-02,"14,174/month","7,25,000","GT World Mall, Bengaluru"
112,2018 Renault Kwid,CLIMBER 1.0,Manual,"37,418 km",2nd Owner,Petrol,KA-53,"7,429/month","3,80,000","Sonnappanahalli
"
113,2015 Maruti Ciaz,ZXI,Manual,"86,851 km",2nd Owner,Petrol,KA-03,"11,183/month","5,72,000","Bellahalli, Bengaluru"
114,2021 Hyundai NEW I20,ASTA (O) 1.0 TURBO GDI DCT,Automatic,"14,951 km",1st Owner,Petrol,KA-05,"20,690/month","10,87,000","Bellahalli, Bengaluru"
115,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"36,540 km",1st Owner,Petrol,KA-12,"16,940/month","8,90,000","Garuda Mall, Magrath Road, Bengaluru"
116,2016 Mahindra Kuv100,K8 6 STR,Manual,"72,057 km",1st Owner,Petrol,KA-12,"8,172/month","4,18,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
117,2013 Hyundai i20,MAGNA (O) 1.2,Manual,"77,289 km",1st Owner,Petrol,KA-05,"7,585/month","3,88,000","Horamavu Agara Road, Bengaluru"
118,2016 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"26,923 km",1st Owner,Petrol,KA-03,"9,873/month","5,05,000","Horamavu Agara Road, Bengaluru"
119,2016 Hyundai i10,SPORTZ 1.1,Manual,"31,355 km",3rd Owner,Petrol,KA-53,"7,429/month","3,80,000","Bellahalli, Bengaluru"
120,2010 Hyundai i10,ERA 1.1,Manual,"43,679 km",1st Owner,Petrol,KA-51,"5,435/month","2,78,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
121,2021 Renault Kiger,RXZ 1.0 MT,Manual,"12,233 km",1st Owner,Petrol,KA-04,"15,151/month","7,75,000","Hosur Road, Singasandra, Bengaluru"
122,2011 Hyundai i10,SPORTZ 1.2,Manual,"96,116 km",2nd Owner,Petrol,KA-04,"5,709/month","2,92,000","Bellahalli, Bengaluru"
123,2015 Hyundai Elite i20,ASTA 1.2,Manual,"1,02,118 km",2nd Owner,Petrol,KA-02,"9,892/month","5,06,000","Bellahalli, Bengaluru"
124,2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT SX,Manual,"64,099 km",2nd Owner,Petrol,KA-51,"13,587/month","6,95,000","Horamavu Agara Road, Bengaluru"
125,2013 Hyundai i20,ASTA 1.2,Manual,"21,644 km",2nd Owner,Petrol,KA-05,"9,032/month","4,62,000","Bellahalli, Bengaluru"
126,2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"97,212 km",3rd Owner,Petrol,KA-19,"10,733/month","5,49,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
127,2016 Hyundai Eon,MAGNA +,Manual,"30,906 km",3rd Owner,Petrol,KA-53,"6,061/month","3,10,000","Bellahalli, Bengaluru"
128,2013 Hyundai i10,ERA 1.1,Manual,"46,280 km",2nd Owner,Petrol,KA-02,"5,846/month","2,99,000","Hosur Road, Singasandra, Bengaluru"
129,2016 Honda Brio,S MT,Manual,"29,457 km",2nd Owner,Petrol,KA-53,"8,465/month","4,33,000","Bellahalli, Bengaluru"
130,2018 Volkswagen Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Manual,"35,791 km",1st Owner,Petrol,KA-04,"12,278/month","6,28,000","Hosur Road, Singasandra, Bengaluru"
131,2016 Honda Jazz,1.2L I-VTEC V AT,Automatic,"44,154 km",2nd Owner,Petrol,KA-03,"10,714/month","5,48,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
132,2022 KIA CARENS,LUXURY PLUS 1.4 PETROL 6 STR,Manual,"21,173 km",1st Owner,Petrol,KA-19,"30,569/month","16,06,000","Garuda Mall, Magrath Road, Bengaluru"
133,2016 Hyundai Elite i20,MAGNA 1.2,Manual,"75,268 km",1st Owner,Petrol,KA-20,"10,596/month","5,42,000","Bellahalli, Bengaluru"
134,2019 Hyundai New Elantra,2.0 SX AT PETROL,Automatic,"24,185 km",1st Owner,Petrol,KA-53,"28,684/month","15,07,000","Bellahalli, Bengaluru"
135,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"33,499 km",3rd Owner,Petrol,KA-04,"8,035/month","4,11,000","GT World Mall, Bengaluru"
136,2017 Nissan Micra,XV CVT,Automatic,"46,468 km",3rd Owner,Petrol,KA-01,"8,778/month","4,49,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
137,2020 Hyundai Creta,SX 1.5 PETROL,Manual,"52,422 km",1st Owner,Petrol,KA-41,"26,667/month","14,01,000","Garuda Mall, Magrath Road, Bengaluru"
138,2012 Hyundai i10,SPORTZ 1.2 AT,Automatic,"31,474 km",1st Owner,Petrol,KA-50,"7,468/month","3,82,000","Hosur Road, Singasandra, Bengaluru"
139,2021 Hyundai NEW I20,MAGNA 1.2 MT,Manual,"17,929 km",1st Owner,Petrol,KA-05,"13,900/month","7,11,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
140,2022 Skoda SLAVIA,AMBITION 1.0L TSI MT,Manual,"7,281 km",1st Owner,Petrol,KA-05,"25,848/month","13,58,000","Horamavu Agara Road, Bengaluru"
141,2014 Maruti Swift,VXI,Manual,"88,051 km",1st Owner,Petrol,KA-02,"10,068/month","5,15,000","Bellahalli, Bengaluru"
142,2012 Maruti Alto 800,LXI,Manual,"48,775 km",2nd Owner,Petrol,KA-05,"4,790/month","2,45,000","GT World Mall, Bengaluru"
143,2020 Maruti Baleno,DELTA PETROL 1.2,Manual,"22,438 km",1st Owner,Petrol,KA-04,"14,330/month","7,33,000","Horamavu Agara Road, Bengaluru"
144,2018 Ford FREESTYLE,TITANIUM PLUS 1.2 PETROL,Manual,"52,626 km",1st Owner,Petrol,KA-03,"10,850/month","5,55,000","Bellahalli, Bengaluru"
145,2020 Toyota YARIS,J CVT,Automatic,"8,828 km",1st Owner,Petrol,KA-51,"16,883/month","8,87,000","Bellahalli, Bengaluru"
