,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
115,2015 Maruti Swift,VXI,Manual,"86,955 km",2nd Owner,Petrol,TN-11,"8,778/month","4,49,000","Thiruverkadu, Chennai
"
116,2020 Hyundai AURA,S 1.2 AMT,Automatic,"98,807 km",1st Owner,Petrol,TN-12,"12,180/month","6,23,000","Thiruverkadu, Chennai
"
117,2018 Maruti Dzire,ZDI AMT,Automatic,"1,17,827 km",2nd Owner,Diesel,TN-03,"12,708/month","6,50,000","Navalur
"
118,2021 Maruti S Cross,SIGMA 1.5,Manual,"11,323 km",1st Owner,Petrol,TN-85,"16,484/month","8,66,000","Thiruverkadu, Chennai
"
119,2016 Hyundai Xcent,S 1.2,Manual,"59,532 km",2nd Owner,Petrol,TN-85,"8,954/month","4,58,000","Navalur
"
120,2012 Maruti Ritz,VDI,Manual,"97,419 km",2nd Owner,Diesel,TN-02,"6,139/month","3,14,000","Navalur
"
121,2020 Volkswagen Polo,COMFORTLINE PLUS 1.0L MPI,Manual,"41,873 km",2nd Owner,Petrol,TN-06,"14,682/month","7,51,000","Navalur
"
122,2021 Tata ALTROZ,XZ PLUS I-TURBO PETROL,Manual,"15,957 km",1st Owner,Petrol,TN-11,"15,542/month","7,95,000","Thiruverkadu, Chennai
"
123,2016 Volkswagen Polo,HIGHLINE1.2L,Manual,"61,583 km",2nd Owner,Petrol,TN-01,"11,339/month","5,80,000","Thiruverkadu, Chennai
"
124,2015 Honda City,1.5L I-DTEC SV,Manual,"1,19,887 km",1st Owner,Diesel,TN-01,"11,574/month","5,92,000","Thiruverkadu, Chennai
"
125,2012 Maruti Wagon R 1.0,VXI,Manual,"61,527 km",1st Owner,Petrol,TN-18,"5,904/month","3,02,000","Thiruverkadu, Chennai
"
126,2018 Hyundai Elite i20,ASTA 1.2  CVT,Automatic,"56,094 km",1st Owner,Petrol,TN-01,"13,157/month","6,73,000","Thiruverkadu, Chennai
"
127,2019 Tata NEXON,XZ PLUS PETROL,Manual,"27,425 km",2nd Owner,Petrol,TN-75,"14,233/month","7,28,000","Navalur
"
128,2018 Hyundai i20 Active,1.2 SX,Manual,"73,321 km",1st Owner,Petrol,TN-31,"14,096/month","7,21,000","Thiruverkadu, Chennai
"
129,2021 Renault Kwid,CLIMBER 1.0 (O),Manual,"31,754 km",1st Owner,Petrol,TN-02,"9,071/month","4,64,000","Navalur
"
130,2017 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"31,085 km",2nd Owner,Petrol,TN-09,"12,160/month","6,22,000","Thiruverkadu, Chennai
"
131,2021 Ford Ecosport,TREND 1.5L DIESEL,Manual,"33,556 km",1st Owner,Diesel,TN-10,"15,874/month","8,34,000","Thiruverkadu, Chennai
"
132,2015 Honda Jazz,1.2L I-VTEC VX,Manual,"48,579 km",1st Owner,Petrol,TN-12,"10,616/month","5,43,000","Navalur
"
133,2019 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"37,218 km",2nd Owner,Petrol,TN-16,"10,303/month","5,27,000","Thiruverkadu, Chennai
"
134,2019 Honda WR-V,1.2L I-VTEC VX MT,Manual,"46,566 km",2nd Owner,Petrol,TN-13,"13,802/month","7,06,000","Navalur
"
135,2021 Renault Kiger,RXZ 1.0 TURBO MT,Manual,"13,808 km",1st Owner,Petrol,TN-03,"15,722/month","8,26,000","Thiruverkadu, Chennai
"
136,2022 Honda Amaze,1.2L I-VTEC S,Manual,"17,752 km",1st Owner,Petrol,TN-06,"14,154/month","7,24,000","Thiruverkadu, Chennai
"
137,2015 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"64,755 km",3rd Owner,Petrol,TN-01,"8,211/month","4,20,000","Thiruverkadu, Chennai
"
138,2015 Honda Brio,S MT,Manual,"77,644 km",2nd Owner,Petrol,TN-04,"7,116/month","3,64,000","Navalur
"
139,2018 Maruti Alto K10,VXI (O),Manual,"43,060 km",2nd Owner,Petrol,TN-14,"7,351/month","3,76,000","Navalur
"
140,2022 Volkswagen VIRTUS,TOPLINE TSI 1.0 AT,Automatic,"13,176 km",1st Owner,Petrol,TN-60,"31,159/month","16,37,000","Navalur
"
141,2014 Hyundai Elite i20,ASTA 1.4 CRDI,Manual,"1,11,275 km",1st Owner,Diesel,TN-01,"9,814/month","5,02,000","Navalur
"
142,2017 Hyundai Elite i20,ASTA 1.2 DUAL TONE,Manual,"41,248 km",1st Owner,Petrol,TN-70,"12,043/month","6,16,000","Thiruverkadu, Chennai
"
143,2019 Maruti Alto,LXI,Manual,"46,120 km",1st Owner,Petrol,TN-06,"6,706/month","3,43,000","Thiruverkadu, Chennai
"
144,2016 Tata Tiago,XZ PETROL,Manual,"86,304 km",1st Owner,Petrol,TN-01,"8,270/month","4,23,000","Thiruverkadu, Chennai
"
145,2021 Hyundai NEW I20 N LINE,N8 1.0 TURBO GDI DCT DUAL TONE,Automatic,"23,899 km",1st Owner,Petrol,TN-12,"21,680/month","11,39,000","Thiruverkadu, Chennai
"
146,2018 Datsun Redi Go,T (O),Manual,"28,733 km",1st Owner,Petrol,TN-09,"5,963/month","3,05,000","Thiruverkadu, Chennai
"
147,2017 Ford Ecosport,TITANIUM 1.5L PETROL,Manual,"61,120 km",3rd Owner,Petrol,TN-12,"11,652/month","5,96,000","Navalur
"
148,2016 Maruti Alto 800,VXI O,Manual,"50,252 km",1st Owner,Petrol,TN-10,"5,572/month","2,85,000","Navalur
"
