,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
66,2018 Hyundai Elite i20,ASTA 1.2 (O),Manual,"39,478 km",1st Owner,Petrol,TS-13,"13,626/month","6,97,000","Kompally, Hyderabad"
67,2018 Hyundai Verna,1.4 EX PETROL,Manual,"95,933 km",1st Owner,Petrol,TS-04,"15,425/month","7,89,000","Bachupally, Hyderabad"
68,2021 Nissan MAGNITE,XV PREMIUM DUAL TONE,Manual,"23,316 km",1st Owner,Petrol,TS-30,"15,475/month","8,13,000","Bachupally, Hyderabad"
69,2018 Mahindra XUV500,W7,Manual,"90,388 km",1st Owner,Diesel,TS-08,"19,624/month","10,31,000","Kompally, Hyderabad"
70,2015 Maruti Wagon R 1.0,VXI,Manual,"71,003 km",2nd Owner,Petrol,TS-15,"6,745/month","3,45,000","Kompally, Hyderabad"
71,2016 Hyundai Creta,SX (O) 1.6 DIESEL,Manual,"1,19,781 km",1st Owner,Diesel,TS-13,"17,911/month","9,41,000","Kompally, Hyderabad"
72,2021 Renault Kiger,RXZ MT,Manual,"37,121 km",1st Owner,Petrol,TS-08,"14,643/month","7,49,000","Kompally, Hyderabad"
73,2017 Datsun Go,T,Manual,"85,298 km",1st Owner,Petrol,TS-08,"6,178/month","3,16,000","Kompally, Hyderabad"
74,2015 Honda Amaze,1.2L I-VTEC S,Manual,"76,438 km",2nd Owner,Petrol,TS-16,"8,446/month","4,32,000","Kompally, Hyderabad"
75,2020 Tata Tiago,XZ PLUS PETROL,Manual,"31,781 km",1st Owner,Petrol,TS-08,"11,183/month","5,72,000","Kompally, Hyderabad"
76,2016 Maruti Baleno,SIGMA PETROL 1.2,Manual,"47,741 km",2nd Owner,Petrol,TS-12,"10,459/month","5,35,000","Kompally, Hyderabad"
77,2020 Maruti Celerio,VXI (O) CNG,Manual,"49,984 km",1st Owner,CNG,TS-08,"11,378/month","5,82,000","Kompally, Hyderabad"
78,2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"42,399 km",2nd Owner,Petrol,TS-11,"9,189/month","4,70,000","Kompally, Hyderabad"
79,2014 Maruti Ritz,ZXI,Manual,"75,773 km",2nd Owner,Petrol,TS-13,"7,273/month","3,72,000","Kompally, Hyderabad"
80,2016 Maruti Ciaz,VXI+,Manual,"75,694 km",2nd Owner,Petrol,TS-09,"10,870/month","5,56,000","Attapur, Hyderabad"
81,2014 Hyundai Elite i20,SPORTZ 1.4 CRDI,Manual,"47,303 km",1st Owner,Diesel,TS-09,"11,320/month","5,79,000","Kompally, Hyderabad"
82,2012 Maruti Swift,VXI,Manual,"49,438 km",3rd Owner,Petrol,AP-11,"8,016/month","4,10,000","Attapur, Hyderabad"
83,2017 Renault Kwid,RXT 1.0,Manual,"39,992 km",2nd Owner,Petrol,TS-08,"6,667/month","3,41,000","Kompally, Hyderabad"
84,2015 Hyundai Eon,ERA +,Manual,"58,321 km",3rd Owner,Petrol,TS-10,"5,122/month","2,62,000","Kompally, Hyderabad"
85,2019 Toyota Glanza,V CVT,Automatic,"39,014 km",1st Owner,Petrol,TS-08,"15,112/month","7,73,000","Kompally, Hyderabad"
86,2018 Maruti Dzire,ZDI PLUS AMT,Automatic,"75,389 km",1st Owner,Diesel,TS-08,"15,303/month","8,04,000","Bachupally, Hyderabad"
87,2020 Hyundai Elite i20,SPORTZ PLUS 1.2,Manual,"51,216 km",1st Owner,Petrol,TS-07,"14,936/month","7,64,000","Kompally, Hyderabad"
88,2018 Renault Kwid,RXT 1.0,Manual,"84,020 km",1st Owner,Petrol,TS-07,"6,764/month","3,46,000","Bachupally, Hyderabad"
89,2011 Maruti Wagon R 1.0,VXI,Manual,"1,06,094 km",1st Owner,Petrol,AP-07,"5,103/month","2,61,000","Attapur, Hyderabad"
90,2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"32,907 km",1st Owner,Petrol,TS-07,"9,580/month","4,90,000","Attapur, Hyderabad"
91,2011 Hyundai i10,MAGNA 1.2,Manual,"75,979 km",2nd Owner,Petrol,AP-07,"4,985/month","2,55,000","Attapur, Hyderabad"
92,2018 Nissan Micra,XL (O) CVT,Automatic,"36,874 km",1st Owner,Petrol,TS-13,"11,202/month","5,73,000","Kompally, Hyderabad"
93,2016 Honda Brio,S MT,Manual,"54,515 km",2nd Owner,Petrol,TS-10,"7,527/month","3,85,000","Attapur, Hyderabad"
94,2018 Honda Amaze,1.2L I-VTEC S,Manual,"81,854 km",1st Owner,Petrol,TS-07,"12,258/month","6,27,000","Attapur, Hyderabad"
95,2014 Honda Amaze,1.2L I-VTEC S,Manual,"52,597 km",2nd Owner,Petrol,TS-09,"8,074/month","4,13,000","Kompally, Hyderabad"
96,2019 Volkswagen Ameo,COMFORTLINE 1.0L,Manual,"46,451 km",1st Owner,Petrol,TS-09,"11,320/month","5,79,000","Kompally, Hyderabad"
97,2018 Maruti Ciaz,ALPHA  AT 1.5 SHVS PETROL,Automatic,"48,468 km",2nd Owner,Petrol,TS-12,"14,487/month","7,41,000","Kompally, Hyderabad"
98,2013 Maruti Swift,VXI,Manual,"1,21,617 km",2nd Owner,Petrol,AP-09,"7,410/month","3,79,000","Kompally, Hyderabad"
99,2011 Maruti Wagon R 1.0,VXI,Manual,"58,273 km",3rd Owner,Petrol,AP-29,"5,063/month","2,59,000","Bachupally, Hyderabad"
100,2014 Hyundai i10,SPORTZ 1.1,Manual,"87,711 km",1st Owner,Petrol,TS-09,"6,569/month","3,36,000","Attapur, Hyderabad"
101,2018 Jeep Compass,LIMITED 2.0 DIESEL,Manual,"1,22,168 km",2nd Owner,Diesel,TS-13,"26,362/month","13,85,000","Kompally, Hyderabad"
102,2019 Volkswagen TIGUAN,COMFORTLINE TDI AT,Automatic,"52,993 km",1st Owner,Diesel,TS-10,"35,365/month","18,58,000","Bachupally, Hyderabad"
103,2017 Skoda Rapid,AMBITION 1.5 TDI,Manual,"86,031 km",1st Owner,Diesel,TS-08,"14,193/month","7,26,000","Attapur, Hyderabad"
104,2014 Renault Duster,85 PS RXL PLUS DIESEL,Manual,"1,01,430 km",1st Owner,Diesel,TS-07,"10,088/month","5,16,000","Attapur, Hyderabad"
105,2016 Hyundai Elite i20,ASTA 1.2,Manual,"40,841 km",1st Owner,Petrol,TS-10,"12,629/month","6,46,000","Kompally, Hyderabad"
106,2014 Maruti Wagon R 1.0,VXI,Manual,"45,852 km",2nd Owner,Petrol,TS-12,"6,393/month","3,27,000","Bachupally, Hyderabad"
107,2018 Honda City,1.5L I-DTEC V,Manual,"75,410 km",1st Owner,Diesel,TS-32,"16,236/month","8,53,000","Kompally, Hyderabad"
108,2021 Ford New Figo,TITANIUM 1.2 PETROL AT,Automatic,"16,579 km",1st Owner,Petrol,TS-09,"15,464/month","7,91,000","Attapur, Hyderabad"
109,2022 Renault TRIBER,RXT AMT,Automatic,"29,302 km",1st Owner,Petrol,TS-07,"15,054/month","7,70,000","Kompally, Hyderabad"
110,2020 Skoda Rapid,STYLE TSI,Manual,"53,802 km",2nd Owner,Petrol,TS-08,"18,977/month","9,97,000","Kompally, Hyderabad"
111,2017 Datsun Redi Go,T (O),Manual,"65,094 km",2nd Owner,Petrol,TS-08,"5,552/month","2,84,000","Bachupally, Hyderabad"
112,2021 Hyundai NEW I20 N LINE,N6 1.0 TURBO GDI IMT,Manual,"45,479 km",1st Owner,Petrol,TS-07,"17,892/month","9,40,000","Kompally, Hyderabad"
113,2021 Mahindra MARAZZO,M2 8 STR,Manual,"19,661 km",1st Owner,Diesel,TS-08,"24,268/month","12,75,000","Kompally, Hyderabad"
